Alpha,Corr,r2,ztrans2,zc,N2
0.1,EXP:PWOM,-0.44,-0.472230804,0.0448793,934.2669075
0.1,EXP:PWOM,-0.43,-0.459896681,0.04448662,958.0857651
0.1,EXP:PWOM,-0.42,-0.447692024,0.044088355,982.8955351
0.1,EXP:PWOM,-0.41,-0.435611223,0.043684232,1008.767717
0.1,EXP:PWOM,-0.4,-0.42364893,0.043273928,1035.780752
0.1,EXP:PWOM,-0.39,-0.411800034,0.04285711,1064.020763
0.1,EXP:PWOM,-0.38,-0.40005965,0.042433428,1093.582544
0.1,EXP:PWOM,-0.37,-0.3884231,0.042002524,1124.570679
0.1,EXP:PWOM,-0.36,-0.376885901,0.041563999,1157.100961
0.1,EXP:PWOM,-0.35,-0.365443754,0.041117466,1191.301736
0.1,EXP:PWOM,-0.34,-0.354092529,0.040662463,1227.316028
0.1,EXP:PWOM,-0.33,-0.342828254,0.040198531,1265.303375
0.1,EXP:PWOM,-0.32,-0.331647109,0.039725169,1305.442477
0.1,EXP:PWOM,-0.31,-0.320545409,0.039241854,1347.934087
0.1,EXP:PWOM,-0.3,-0.309519604,0.038748002,1393.004735
0.1,EXP:PWOM,-0.29,-0.298566264,0.038242996,1440.910835
0.1,EXP:PWOM,-0.28,-0.287682072,0.037726161,1491.943952
0.1,EXP:PWOM,-0.27,-0.276863823,0.037196778,1546.436922
0.1,EXP:PWOM,-0.26,-0.266108407,0.036654063,1604.771599
0.1,EXP:PWOM,-0.25,-0.255412812,0.03609715,1667.388314
0.1,EXP:PWOM,-0.24,-0.244774113,0.03552511,1734.797357
0.1,EXP:PWOM,-0.23,-0.234189467,0.034936887,1807.593993
0.1,EXP:PWOM,-0.22,-0.223656109,0.034331347,1886.476399
0.1,EXP:PWOM,-0.21,-0.213171347,0.033707225,1972.26942
0.1,EXP:PWOM,-0.2,-0.202732554,0.033063108,2065.95482
0.1,EXP:PWOM,-0.19,-0.192337169,0.032397401,2168.710726
0.1,EXP:PWOM,-0.18,-0.181982689,0.031708333,2281.963161
0.1,EXP:PWOM,-0.17,-0.171666664,0.030993867,2407.455985
0.1,EXP:PWOM,-0.16,-0.161386696,0.0302517,2547.344496
0.1,EXP:PWOM,-0.15,-0.151140436,0.029479147,2704.326084
0.1,EXP:PWOM,-0.14,-0.140925576,0.028673126,2881.82198
